"EvCat","EvCode","EvData","LocCode","Latitude","Longitude"
"4. INCIDENTS","394","(Q) broken down heavy lorr(y/ies). Danger","11889","49.1806","9.22955"
"4. INCIDENTS","394","(Q) broken down heavy lorr(y/ies). Danger","11889","49.1806","9.22955"
"4. INCIDENTS","393","(Q) broken down vehicle(s). Danger","12658","48.7807","9.01405"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","10849","49.7488","9.84505"
"1. LEVEL OF SERVICE","104","stationary traffic for 4 km","22936","47.5756","9.71095"
"1. LEVEL OF SERVICE","104","stationary traffic for 4 km","22936","47.5756","9.71095"
"11. ROADWORKS","803","(Q sets of) construction work","15299","49.1934","9.2048"
"14. ROAD CONDITIONS","1057","oil on road. Danger","12041","49.41685","7.5282"
"14. ROAD CONDITIONS","1057","oil on road. Danger","12041","49.41685","7.5282"
"13. DANGEROUS SITUATIONS","923","animals on the road. Danger","40849","49.66335","7.5221"
"5. CLOSURES AND LANE RESTRICTIONS","240","road closed due to (Q) accident(s)","40538","50.70995","7.50315"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"14. ROAD CONDITIONS","1047","icy patches (above Q hundred metres)","18978","51.26016686","10.30862851"
"14. ROAD CONDITIONS","1047","icy patches (above Q hundred metres)","18978","51.26016686","10.30862851"
"5. CLOSURES AND LANE RESTRICTIONS","742","(Q sets of) roadworks. Single alternate line traffic","54762","48.7873","9.1511"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"4. INCIDENTS","212","(Q) broken down heavy lorr(y/ies)","11882","49.281","8.6206"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11889","49.1806","9.22955"
"11. ROADWORKS","803","(Q sets of) construction work","11599","49.2269","8.6033"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"11. ROADWORKS","707","bridge maintenance work (at Q bridges)","17442","47.58887105","7.786625982"
"1. LEVEL OF SERVICE","104","stationary traffic for 4 km","22936","47.5756","9.71095"
"1. LEVEL OF SERVICE","104","stationary traffic for 4 km","22936","47.5756","9.71095"
"1. LEVEL OF SERVICE","129","stationary traffic for 3 km","11560","47.5966","7.60355"
"14. ROAD CONDITIONS","1057","oil on road. Danger","12041","49.41685","7.5282"
"14. ROAD CONDITIONS","1057","oil on road. Danger","12041","49.41685","7.5282"
"5. CLOSURES AND LANE RESTRICTIONS","240","road closed due to (Q) accident(s)","40538","50.70995","7.50315"
"5. CLOSURES AND LANE RESTRICTIONS","240","road closed due to (Q) accident(s)","40538","50.70995","7.50315"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"1. LEVEL OF SERVICE","108","queuing traffic (with average speeds Q)","11883","49.2758","8.6939"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"11. ROADWORKS","809","(Q sets of) work on buried services","36986","49.7243","8.61245"
"20. DELAYS","747","roadworks. Delays (Q)","11770","50.99385","6.8951"
"20. DELAYS","747","roadworks. Delays (Q)","11770","50.99385","6.8951"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","11877","49.4612","8.53955"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"11. ROADWORKS","803","(Q sets of) construction work","5806","49.2799","7.0372"
"1. LEVEL OF SERVICE","104","stationary traffic for 4 km","56711","49.2573","8.6025"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"1. LEVEL OF SERVICE","253","vehicles slowing to look at (Q) accident(s). Stationary traffic for 4 km","11024","51.7331","8.70535"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","15796","47.66959324","9.414999028"
"12. OBSTRUCTION HAZARDS","63","(Q) object(s) on the road. Danger","15796","47.66959324","9.414999028"
"23. DANGEROUS VEHICLES","804","(Q sets of) slow moving maintenance vehicles","20133","47.68062099","10.30105645"
"25. TRAFFIC EQUIPMENT STATUS","1802","emergency telephones not working","12636","47.9982","8.6057"
"20. DELAYS","747","roadworks. Delays (Q)","11414","50.9098","7.9126"
"20. DELAYS","747","roadworks. Delays (Q)","11414","50.9098","7.9126"
"4. INCIDENTS","394","(Q) broken down heavy lorr(y/ies). Danger","11889","49.1806","9.22955"
"1. LEVEL OF SERVICE","102","stationary traffic for 1 km","30748","47.5484","7.7583"
"4. INCIDENTS","393","(Q) broken down vehicle(s). Danger","12931","47.83585","9.9911"
"4. INCIDENTS","393","(Q) broken down vehicle(s). Danger","12658","48.7807","9.01405"
